[2025-09-18 10:25:38.501] DEBUG TestNG - suiteXmlPath: "C:\Users\User\Desktop\Eatme Files\seleniumgridproject\testng.xml"
[2025-09-18 10:25:38.763] INFO  Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 9 ms.
[2025-09-18 10:25:38.786] INFO  Utils - [Utils] MethodGroupsHelper.sortMethods() took 21 ms.
[2025-09-18 10:25:38.788] INFO  Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
[2025-09-18 10:25:38.788] INFO  Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
[2025-09-18 10:25:38.789] INFO  Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
[2025-09-18 10:25:38.789] INFO  Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
[2025-09-18 10:25:38.789] INFO  Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
[2025-09-18 10:25:38.790] INFO  Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
[2025-09-18 10:25:38.790] INFO  Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
[2025-09-18 10:25:38.790] INFO  Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
[2025-09-18 10:25:38.792] INFO  Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
[2025-09-18 10:25:38.792] INFO  Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
[2025-09-18 10:25:38.792] INFO  Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
[2025-09-18 10:25:38.792] INFO  Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
[2025-09-18 10:25:38.793] INFO  Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
[2025-09-18 10:25:38.793] INFO  Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
[2025-09-18 10:25:38.796] INFO  Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
[2025-09-18 10:25:38.796] INFO  Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
[2025-09-18 10:25:38.798] INFO  Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
[2025-09-18 10:25:38.798] INFO  Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
[2025-09-18 10:25:38.800] INFO  Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
[2025-09-18 10:25:38.801] INFO  Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
[2025-09-18 10:25:38.803] INFO  Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
[2025-09-18 10:25:38.804] INFO  Utils - [Utils] MethodGroupsHelper.sortMethods() took 1 ms.
[2025-09-18 10:25:38.804] INFO  Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
[2025-09-18 10:25:38.804] INFO  Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
[2025-09-18 10:25:38.806] INFO  Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
[2025-09-18 10:25:38.806] INFO  Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
[2025-09-18 10:25:38.806] INFO  Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
[2025-09-18 10:25:38.806] INFO  Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
[2025-09-18 10:25:38.806] INFO  Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
[2025-09-18 10:25:38.806] INFO  Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
[2025-09-18 10:25:38.808] INFO  Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
[2025-09-18 10:25:38.808] INFO  Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
[2025-09-18 10:25:38.808] INFO  Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
[2025-09-18 10:25:38.808] INFO  Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
[2025-09-18 10:25:38.808] INFO  Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
[2025-09-18 10:25:38.808] INFO  Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
[2025-09-18 10:25:38.809] INFO  Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
[2025-09-18 10:25:38.809] INFO  Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
[2025-09-18 10:25:38.814] INFO  Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
[2025-09-18 10:25:38.815] INFO  Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
[2025-09-18 10:25:38.815] INFO  Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
[2025-09-18 10:25:38.817] INFO  Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
[2025-09-18 10:25:38.817] INFO  Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
